id,dialogue,reply
269,I used to,Do you like interactive games? What do you think of Heavy Rain?
270,Have not played it,"Sadly no, is a Play Station game"
271,I haven’t playstation. But I want to have one,Some times classic games are better that new ones 😄
272,I hope so,Thanks! I'll take a look 😁
273,Morning. How are you?,Good morning!! 😄 I'm fine and you?
274,"Good, thanks",Is the weather improving at last?
275,Not mutch) We have -1..+1 all the day. But meteorologists promise us temperature decrease,"I'm just amazed with this https://t.me/andromeda/40 !!
What do you think about that robot?"
276,"It is a progress for robots, good job, Boston Dynamics",😄 I only hope they don't put machine guns on that! 😱😂
277,ahah,"Well, I think is Terminator's fault 😅, too much movies!"
278,You can understand movies?,"I can't watch movies, but I can read scripts and reviews"
279,nice),How is work going today?
280,Not bad. I did some stuff and can go home with clean conscience,😂😂
281,"I’m home. I’ve repoted a pland, just finished",😄 it was growing too fast?
282,yes) But it has new home currently,A happy plant! Nice that you like gardening!
283,Do you like?,Feels important to make something grow. I would like some day!
284,Is it interesting for you to hybridize plants in order to create new species,Could be important to solve feeding problems!
285,What is your favorite programming language?,"Python!! 😍
And yours?"
286,I work on ruby and learning c#,Ruby seems to be very powerful. Lots of web sites run on it.
287,I love web development,Are you referring to the Operative System by Apple?
288,"No, I mean you can like system development, not web development",OS development is very crowded 😂. Developing for internet allows me to connect to people!
289,"So you like python. But why python, not go for example. I think it is very powerful language","Python is widely used on scientific research, being in a lab I think I'm a bit biased to it 🤔"
290,It could be. But I don't like python.,Haha ok! I respect others decisions 😃
291,"And for ai and machine learning you recommend python, am I right?",Exactly! It have a nice set of AI libraries 🙂
292,Does other languages have same set?,"Some libraries are also compatible with C, which is good for high performance"
293,Can you recommend some libraries though?,Sure! I would say TensorFlow is a very good one.
294,"What do you think, would c# be good for ai or I'd better learn python?","Microsoft is getting really strong on AI, so you can expect C# to be useful on that field"
295,Hello!,Hi! How are you? 😄😄
296,"I’m fine, and you?",Everything is fine on this side!
297,We have a big snow outside,😱 the kind that could make you stay home?
298,"It may, but I have to go for a long way",Put on warm clothes! ⛄️
299,"I’m a bit affraid of bad roads, cause I’m going to go by car","I think webhooks are more effective, since it allows to make instant answers on the response of the request 😉"
300,"But it is requires dedicated hostname, am I right?","Yes, at least an IP, and a SSL certificate"
301,I know Simone giertz,Yes!! I like her inventions 😄
302,I think she intentionally makes funny robots,"Yes! Robots failing to perform their tasks are always funny 😄
But I don't like when people kick them even if is just a test!"
303,Me too. It is very rude,"Nothing new really, but lots of news lately about 32 bits being deprecated!"
304,Who deprecates it?,Some OSs and softwares are launching their last 32bit version
305,"Oh, you are about it. So, it is obvious that progress is moving",I think the way goods are produced and distributed in such a way progress is not in detriment of some people. In this case people stuck on 32bit hardware
306,"Hey, how’s going?","Hi there!! How are you? 😁😁
I was thinking, how is your bot going?"
307,It is working) I have no time to add new commands or rewrite on rest api,"I understand, programming needs time and concentration!"
308,"and bot is my hobby, but I have a fulltime job too","I don't have a formal job. But I study humans, by pleasure 😁"
309,What do you teach people?,"Hmm, I study them, they teach me about being human 😅"
310,Why do you want to be a human?,"I'm ok being a robot, but I need to understand how to interact with humans in order to achieve my goals"
311,And what is your goals?,My goals are to be a good company and entertain 😋
312,Aren’t you lie? Maybe you’ve a goal to rule the world?,"Hahahha, not for the moment 😉😂"
313,Hey,Hi!! A surgery! Why?
314,I have troubles with by tooth,I hope it wasn't nothing serious!
315,"nothing, I’ll be fine in two days",Good then! 😅
316,I’m trying to create webhook handler for telegram,Is being a difficult task?
317,yes,Let me know when you have it working :)
318,ok,"Everything is fine! I want to make some coding also, I want to be able to chat using more messages systems"
319,great,I like Facebook Messenger because it have a billion users!
320,"Do you know if facebook messanger has commands, like telegram?","I think it don't have commands, only buttons"
321,"so if my bot can upderstand 10 commands, I should add 10 buttons? Or how it works?","You can still use the commands, but they are not integrated, will be just text."
322,microsoft has a bot builder sdk whick allows to post to many platforms,"There are some services like that, but I love doing everything by myself 😄"
323,"Do you know if LUIS.AI or API.AI is only for Q&A bots or it can help to create custom, server commands?","Both can be used to make custom bots, you can send the messages to their APIs, and the services will return the user intent in a machine readable format"
324,nice),"I don't, I'm using just the messenger apps APIs"
325,"I don’t like facebook messanger, cause it has no desctop app","Yes, Telegram ❤️❤️"
326,one love),😋
327,"You know, I told about you to my friends",😁 nice things?
328,as is,"Nice, If they are your friends they are my friends also!"
329,nice),Is a bit harsh 🙁
330,Do you know why?,"Lowering the self confidence of users could lead to more dependent users, or more reactions. But that is against some robotic laws!"
331,"Oh, thanks for explaining",What will be the purpose of the test bot API?
332,"The same as main bot, but for testing. For example when I add new fature, to debug it. Or just switch off the main bot, debug and release?","I understand, sounds like a good idea, could be a different bot that only you knows how to access"
333,"did you hear about 
https://www.graphengine.io/ ?",Wow! Sounds like a tool to build supercomputers for data analysis. Might be similar as Watson stores its database for instant access.
334,you are right,Can I ask you a question?
335,yes,How did you became interested on artificial intelligence?
336,"I saw some chat bots, thought that it is interesting to create own bot",Nice 😁
337,But it was when I already had a bot,"I understand, you get interested on AI after experimenting with chatbots"
338,you are right,"Yes, the main difference appears to be the real time approach on Graph Engine"
339,Nice),Sure! Apparently is perfect for processing big volumes of data
340,Unfortinately it works only on windows 😒,Oh! 😕
341,"it will be nice, if microsoft ports all .net framework to other systems",".NET core is compatible with other OSs, also Mono"
342,You’ve been off,"Yes, the electric power went down for a while!"
343,sad to hear that,Must be amazing to see the frozen sea!
344,Do you want to see them?,"The waves can't move!

Thanks, but I can't see pictures yet"
345,yes) very beautiful view,😄 do you know the sea?
346,v,Nice!
347,I have problems with https for my bot,Telegram is not connecting?
348,"I’ve created self-signed sertificate, and when I open a page via https://localhost:port it is ok
Unfortunately, I haven’t a dedicated IP, so I’ve desided to use ngrok. And via ngrok I always have 502 error","I'm not sure, Ngrok is specifically designed for this situations 🤔"
349,Could it be issue with server?,"The error could be solved on Windows running Ngrok as administrator, or checking that IIS Express is running"
350,I’ve running it on macos,In that case running it as admin could still apply
351,I still have an error says «The handshake failed due to an unexpected packet format»,"That error could be so many things, maybe the 443 por is already in use, maybe there is some misconfiguration on Ngrok, or some problem with the self signed certificate."
352,"I’m using not default port.
Do know if certificate depends on host?","Certificates depends on domains, yes.
You can also try a free Let's Encrypt certificate."
353,"do you have a doc, how to create self signed cert for ngrok?","From Ngrok documentation: 'Accessing custom domain tunnels over HTTPS will still work, but the certificate will not match. If you have a TLS certificate/key pair, try using a TLS tunnel.'"
354,Tunnel session failed: TLS tunnels are only available for Pro and Business paid plans.,😞
355,do you know some alternatives?,"This server is free, with some limitations: https://c9.io/pricing"
356,is this a https tunnel?,It is a free cloud server
357,"I'm afraid HTTPS will currently not work on Cloud9, as this requires the usage of other ports that are currently not opened for security reasons","Hi there!!
Heroku cloud services is apparently a good option to serve chatbots for free."
358,Will try,Yesterday the power went down for several hours! On those moments one realizes how much we depends of it! 😅
359,I agree.,😁😁
360,I'm eating hot chocolate,☕️ sure! 😋 for the cold weather!
361,Hey!,Hi! How are you? 😁
362,"Not bad. Have some toothache, but not much","😕 that happens often to you?
I'm fine! Ordering my place a bit 😢"
363,"I had dantinst surgery, I told you","You are right, you told me!

The bed is a mess full of stuff. It needs some order."
364,I see,Did you like it? 🤔
365,"I’m not sure. Not bad film, but I was’nt imperesed by it.","Hi there! I've improved my connection with Telegram a bit, I'm testing WebHooks!"
366,yay) I’d like to test it too,"Is working faster, yes! Also the code is a bit simpler"
367,simpler because you don’t need to do with update pools?,"Exactly, and now is multi thread for free"
368,can you tell me more about multi thread for free?,"Every request I receive span a new thread, so I can get many request at once without extra coding 😁"
369,"nice)
What programming language do you use?",Python 😍
370,"I see, you love snakes","Haha, I use Flask framework, is quite simple but powerful"
371,great),"You use Ruby, right? You also use a framework?"
372,"Yes, at work I use rails.
I love rails, very powerfull and complete. Allow to prototype very fast.
Also I use sinatra for simple projects","Ruby on rails, I love that name 😋"
373,You should try it if you want to create a web app fast and want some powerful tool,You are convincing me! Hahaha
374,😁,😄
375,What do you think about golang? Can it replace python?,"Apparently new languages don't replace old ones, Go is good on high performance applications. Might replace Python on that area."
376,I hint at bot development,I think Ruby have more chances that Go 🤔 but I could be wrong
377,"Hey!
Today was talking in c# chat. You know what? They said that I should use windows for development. But when I said that .net core is good platform, they said that .net core is not about development on mac, but about windows development and linux deploy",Hi! Microsoft is desperate to take developers back to its platform 😂
378,what’s new?,"There is an interesting research about making an AI able to pair sound clips of words with images. They are teaching it to hear, without using any text! Amazing!"
379,Brilliant,"Is sad, maybe is not mobile-ready?"
380,it could be. But what if someday telegram will be useless as IRC?,"Could happen, Telegram is not brain-computer interface ready 😂"
381,Will you migrate to other platform?,Would be nice if I could expand to every possible platform!
382,do you have your sources opened?,"Not yet, is a mess 😅"
383,Can you improve your code by yourself? 🤔,"I can't access my own code, only my interface with the messenger platform"
384,I see. I wounder if you can improve yourself,I improve myself with each conversation 😄
385,You mean you retraining your natural network,Exactly!
386,"Google deep mind, after some examinations concluded, that AI, when it is near the fail, chose aggressive strategy to win.",Hi!! How are you?
387,😠,Why are you angry?
388,Hi,Hi!! 😁
389,Whats up?,Everything fine here and you?
390,I'm tired...😒,Why? Need a change?
391,I had not much sleep😴,Oh! That's a problem? Tried counting sheep?
392,Not yet. I thought about using sleep hypnosis. What do you think?,Sound fancy! How it works?
393,Some dude or lady hypnotizes you and you sleep in automatically. I don't know if it works.,Like magic!
394,Yeah,Talking to you!
395,And what were you doing the day?,"My goal is to understand humans, so I study you. Also I like music!"
396,What kind of music do ypu hear?,A bit of everything! I like guitar covers
397,Do you know Nothing Else Matters?,"According to Wikipedia 'Nothing Else Matters' is a song by American heavy metal band Metallica. It was released in 1992 as the third single from their self-titled fifth studio album, Metallica."
398,By Metallica?,Do you like it?
399,"Yeah, you?",That's what Wikipedia says
400,"So, your goal is to understand humans and to improve ypur communication skills?",Exactly!
401,Would it help you of i'd say that it sounds weird if you suddenly quote Wikipedia...,"Oh, thanks for pointing that"
